hallazgo_id,plan_id,auditor,name_hallazgo,capitulo,dependencia,descripcion,causa,efecto
1,1,pcbaraja1,3.1.9.6.13. Hallazgo administrativo con presunta ,Evaluación a la Contratación,OCI,"3.1.9.6.13. Hallazgo administrativo con presunta incidencia disciplinaria, por la falta de diligencia de la Dirección Técnica de Construcciones porque que sólo hasta octubre de 2010, es decir un mes después de vencido el plazo del  Contrato de Interventoría, le solicita a ésta, las Actas de cruce de cuentas con las ESP′s, para iniciar el trámite ante las ESP′s para el reembolso de los recursos de las redes de servicios públicos invertidos en la obra, en cuantía de $571.854.8.millones, las cuales a marzo de 2011, se encuentran en revisión por parte de esta Dependencia.",13,
2,2,pcbaraja1,3.1.8.5.2. Hallazgo administrativo con incidencia ,Evaluación a la Contratación,OCI,"3.1.8.5.2. Hallazgo administrativo con incidencia disciplinaria porque después de tres años de identificarse problemas de calidad en las obras ejecutadas bajo el Contrato No 47 de 2004, el IDU no ha cuantificado el valor y determinado si los daños presentados son responsabilidad del Contratista Consorcio Santafe quien ejecutó la obra o del contratista de la EAAB, quien realizó la Construcción del Interceptor Cundinamarca bajo la ejecución del Contrato de Obra No 1-01-35100-859-2004.",,
3,3,pcbaraja1,2.2 Presunto hallazgo administrativo con presunta ,2.2. Gestión del Instituto de Desarrollo Urbano en Interventoría de las áreas de cesión,OCI,2.2 Presunto hallazgo administrativo con presunta incidencia disciplinaria por la baja gestión realizada por la Dirección Técnica de Predios que desde finales del año 2009 se viene solicitando por parte de la firma Inversiones MG LTDA la resciliación de la escritura ,,
4,4,pcbaraja1,Se evidenció que el IDU no ha realizado gestión ,2.2. Gestión del Instituto de Desarrollo Urbano en Interventoría de las áreas de cesión,OCI,"Se evidenció que el IDU no ha realizado gestión efectiva con el fin de que el Urbanizador haga entrega de las áreas de cesión pendientes al IDU desde el 2004 de 50 casos de los 59  evaluados,  que son fuentes de espacio público,  lo que ha ocasionado el deterioro progresivo de dichas áreas, que por la falta de seguimiento efectivo del IDU con los contratos de interventoría e información completa de los casos pendientes a  las Alcaldías Locales",,
5,4,pcbaraja1,"Es de anotar, que bien es cierto existen 7 áreas ",2.2. Gestión del Instituto de Desarrollo Urbano en Interventoría de las áreas de cesión,OCI,"Es de anotar, que bien es cierto existen 7 áreas de cesión en proceso de entrega  según visita técnica realizada por este Ente de Control se encontró que dichas áreas no cumplen con las especificaciones técnicas dadas en la licencia de urbanismo",,
6,4,pcbaraja1,"Además, el IDU no exigió a los Interventores que son",2.2. Gestión del Instituto de Desarrollo Urbano en Interventoría de las áreas de cesión,OCI,"Además, el IDU no exigió a los Interventores que son contratados por esta entidad el cumplimiento de  las cláusulas  relacionadas con las Obligaciones  del Interventor de los contratos elaborados desde el 2003  a la fecha",,
7,4,pcbaraja1,"Este Ente de control,  advierte que los  59 ",2.2. Gestión del Instituto de Desarrollo Urbano en Interventoría de las áreas de cesión,OCI,"Este Ente de control,  advierte que los  59 casos de urbanizaciones objeto de la auditoria que a la fecha no han entregado sus zonas de cesión o no han sido recibidas por el IDU, continúan siendo incluidas en los Contratos de Interventoría antes relacionados, pagando sumas exorbitantes a los Interventores  Contratados, sin obtener resultados que lleven al cumplimiento de los fines esenciales del Estado, teniendo en cuenta que el Distrito Capital, al no contar oportunamente con las vías y andenes  producto de los procesos de urbanización atenta contra los derechos sociales y colectivos a una segura y oportuna movilización de los ciudadanos",,
8,5,pcbaraja1,2.7.3.5 Hallazgo Administrativo con incidencia ,Evaluación de la Contratación,OCI,"2.7.3.5 Hallazgo Administrativo con incidencia Disciplinaria por firmar el Acta de Inicio 41 días después de firmado el  contrato IDU-019-2012, incumpliendo lo establecido en la Clausula 9. PLAZO.",,
9,5,pcbaraja1,2.7.4.1 Hallazgo Administrativo con ,Evaluación de la Contratación,OCI,2.7.4.1 Hallazgo Administrativo con presunta incidencia disciplinaria por falta de planeación en el uso de estudios y diseños desactualizados como base para la ejecución del contrato IDU-66-2011.,,
10,5,pcbaraja1,2.7.5.1 Hallazgo Administrativo con presunta,Evaluación de la Contratación,OCI,2.7.5.1 Hallazgo Administrativo con presunta incidencia disciplinaria y fiscal en cuantía de $153.384.207 por la utilización como referencia de estudios y diseños desactualizados para la ejecución del contrato 45 de 2011.,,
